"","V1","V2","V3","V4"
"752",1,1,2,1
"753",2,17,19,17
"754",3,20,23,20
"755",1,4,5,4
"756",1,8,9,8
"757",1,9,10,9
"758",2,14,16,15
"759",1,4,5,4
"760",1,2,3,2
"761",1,2,3,2
"762",1,10,11,10
"763",1,3,4,3
"764",1,10,11,10
"765",1,9,10,9
"766",2,1,3,2
"767",1,1,2,1
"768",1,2,3,2
"769",1,9,10,9
"770",1,14,15,14
"771",2,14,16,14
"772",1,2,3,2
"773",3,6,9,7
"774",1,12,13,12
"775",1,8,9,8
"776",3,6,9,7
"777",2,6,8,7
"778",6,33,39,38
"779",3,2,5,3
"780",1,4,5,4
"781",1,3,4,3
"782",2,6,8,7
"783",1,18,19,18
"784",1,36,37,36
"785",2,2,4,3
"786",4,21,25,24
"787",2,10,12,10
"788",1,7,8,7
"789",2,5,7,6
"790",1,1,2,1
"791",3,16,19,16
"792",4,10,14,12
"793",1,1,2,1
"794",2,9,11,9
"795",1,1,2,1
"796",1,2,3,2
"797",1,2,3,2
"798",23,4,27,24
"799",1,37,38,37
"800",4,37,41,38
"801",2,2,4,2
"802",1,3,4,3
"803",2,1,3,2
"804",1,4,5,4
"805",1,3,4,3
"806",3,14,17,15
"807",1,11,12,11
"808",2,4,6,4
"809",1,2,3,2
"810",1,8,9,8
"811",3,37,40,37
"812",1,6,7,6
"813",2,2,4,3
"814",3,10,13,10
"815",2,29,31,30
"816",1,2,3,2
"817",1,1,2,1
"818",2,38,40,39
"819",5,2,7,6
"820",2,2,4,3
"821",1,7,8,7
"822",1,6,7,6
"823",3,5,8,6
"824",1,4,5,4
"825",1,4,5,4
"826",2,5,7,5
"827",1,2,3,2
"828",1,2,3,2
"829",2,2,4,3
"830",1,5,6,5
"831",1,10,11,10
"832",1,2,3,2
"833",1,6,7,6
"834",1,5,6,5
"835",3,29,32,29
"836",1,1,2,1
"837",4,42,46,44
"838",5,41,46,42
"839",2,12,14,12
"840",2,22,24,23
"841",1,3,4,3
"842",1,3,4,3
"843",1,2,3,2
"844",1,2,3,2
"845",3,8,11,8
"846",1,1,2,1
"847",1,8,9,8
"848",1,17,18,17
"849",1,4,5,4
"850",2,13,15,13
"851",6,4,10,9
