doi,category
10.1523/jneurosci.3238-17.2018,cellular/molecular
10.1523/jneurosci.3818-16.2018,cellular/molecular
10.1523/jneurosci.2259-17.2018,cellular/molecular
10.1523/jneurosci.0066-18.2018,development/plasticity/repair
10.1523/jneurosci.3371-17.2018,development/plasticity/repair
10.1523/jneurosci.0550-18.2018,neurobiology of disease
10.1523/jneurosci.3646-17.2018,systems/circuits
10.1523/jneurosci.1737-17.2018,cellular/molecular
10.1523/jneurosci.1483-16.2018,development/plasticity/repair
10.1523/jneurosci.3321-17.2018,cellular/molecular
10.1523/jneurosci.0461-18.2018,cellular/molecular
10.1523/jneurosci.0679-17.2018,cellular/molecular
10.1523/jneurosci.0296-18.2018,behavioral/cognitive
10.1523/jneurosci.3003-17.2018,behavioral/cognitive
10.1523/jneurosci.0149-18.2018,neurobiology of disease
10.1523/jneurosci.3621-17.2018,cellular/molecular
10.1523/jneurosci.0272-18.2018,behavioral/cognitive
10.1523/jneurosci.3084-17.2018,neurobiology of disease
10.1523/jneurosci.0551-18.2018,development/plasticity/repair
10.1523/jneurosci.3278-17.2018,systems/circuits
10.1523/jneurosci.2617-17.2018,development/plasticity/repair
10.1523/jneurosci.0328-18.2018,systems/circuits
10.1523/jneurosci.0230-18.2018,cellular/molecular
10.1523/jneurosci.3354-17.2018,systems/circuits
10.1523/jneurosci.2888-17.2018,neurobiology of disease
10.1523/jneurosci.3618-17.2018,cellular/molecular
10.1523/jneurosci.3103-17.2018,systems/circuits
10.1523/jneurosci.3382-17.2018,behavioral/cognitive
10.1523/jneurosci.2772-17.2018,cellular/molecular
10.1523/jneurosci.2557-17.2018,systems/circuits
10.1523/jneurosci.2910-17.2018,systems/circuits
10.1523/jneurosci.0837-18.2018,systems/circuits
10.1523/jneurosci.3402-17.2018,behavioral/cognitive
10.1523/jneurosci.3565-17.2018,neurobiology of disease
10.1523/jneurosci.1627-17.2018,behavioral/cognitive
10.1523/jneurosci.0150-18.2018,other
10.1523/jneurosci.0350-18.2018,systems/circuits
10.1523/jneurosci.0346-18.2018,systems/circuits
10.1523/jneurosci.3037-17.2018,cellular/molecular
10.1523/jneurosci.0425-18.2018,cellular/molecular
10.1523/jneurosci.3489-17.2018,systems/circuits
10.1523/jneurosci.3210-17.2018,cellular/molecular
10.1523/jneurosci.3654-17.2018,behavioral/cognitive
